Modelo,F1-score,Recall,Precision,ROC AUC
LogReg,0.5226917057902973,0.446524064171123,0.630188679245283,0.8137854543383841
Random Forest,0.5226917057902973,0.446524064171123,0.630188679245283,0.8137854543383841
XGBoost,0.5369532428355958,0.47593582887700536,0.615916955017301,0.8116435696869613
